Front	Back
Euler Circuit (Use Edge EXACTLY ONCE)	Walk on all edges of graph that START and END at SAME VERTEX
Euler Path (REQUIREMENTS)	All nodes on graph G must have EVEN DEGREE
Euler Circuit (REQUIREMENTS)	EVERY node has to be of an EVEN DEGREE
Hamiltonian Path	Use vertex EXACTLY ONCE
Hamiltonian Circuit (Use vertex EXACTLY ONCE)	Use vertex EXACTLY ONCE - EXCEPT THE STARTING VERTEX (goes back to the same vertex after traversing the last one)
ISOMORPHIC GRAPHS	The same number of vertices<br>The same number of edges<br>The same degree sequence<br>The same overall shape or structure, even if drawn or labeled differently
Number of edges on complete graphs	"\[ 
\sum_{i=1}^{n} i = \frac{n(n+1)}{2} \]"
Handshaking Lemma:	∑deg(v)=2⋅number&nbsp;of&nbsp;edges
Euler's Theorem	A connected graph has an Eulerian <strong>circuit</strong> ⇔ every vertex has even degree.<br>Has an Eulerian <strong>path</strong> ⇔ exactly 0 or 2 vertices have odd degree
Hamiltonian Path/Circuit	Visits all vertices once (circuit returns to start). No simple criterion.
Graph Isomorphism:	Bijection \(f:V_G→V_H \)<br>such that<br>\((u,v) ∈ E_G ⇔ (f(u), f(v)) ∈ E_H\)
Total Number of relations on A:	\(2^{n^2}\)
Reflexive relations	Each \((a,a)\) must be included ⇒ choose from remaining \(n^2 - n\) pairs
Total Number of Reflexive Relations	\(2^{n^2−n}\)
Symmetric Relations:	For each pair \((a,b)\) where \(a \neq b\), either both \((a,b) \) and \( (b,a)\) are included, or neither.<br>There are \(\binom{n}{2}\)&nbsp;such unordered pairs.
Total number of Symmetric Relations	Total = \(2^{\binom{n}{2} + n} = 2^{\frac{n(n-1)}{2} + n}\)
Antisymmetric relations:	For each \((a,b)\)&nbsp;with \(a \neq b\), either one of \((a,b)\), \((b,a)\), or neither can be included.<br>For each such pair: 3 choices.
Total Number of Antisymmetric Relations	Total = \(2^n \cdot 3^{\binom{n}{2}}\)
Transitive relations&nbsp; (Formula to calculate number):	No simple closed formula; counted via algorithms.
Total functions from \(A \rightarrow B\)	\(n^m\)
Total number of One-to-one (<b>injective</b>) functions (\(m \leq n\)):	"\(n \cdot (n-1) \cdot \ldots \cdot (n-m+1) = \frac{n!}{(n - m)!}\)&nbsp;or , P(n,m)​<br>
<h3></h3>"
Total Number of Onto (<b>Surjective</b>) Functions:	Counted using <strong>inclusion-exclusion</strong>:<br><ul><li>\(\sum_{k=0}^{n} (-1)^k \binom{n}{k} (n - k)^m\)</li></ul>
Number of Bijective Functions (<b>m=n</b>)	\(n!\)
Total number of simple graphs with n vertices	\(2^{\binom{n}{2}}\)
Number of possible undirected edges between \(n\) labeled vertices	\(\binom{n}{2}\)
Number of possible undirected edges betweeen n labeled vertices	\(\binom{n}{2}\)
Number of directed graphs with \(n\)&nbsp;vertices:	\(2^{n(n-1)}\)&nbsp;(excluding self-loops)
Number of directed graphs with self-loops allowed:	\(2^{n^2}\)
Inclusion-Exclusion Principle	\(|A \cup B| = |A| + |B| - |A \cap B|\)&nbsp;or,<br><div><br></div><div>For finite sets A1,A2,…,AnA_1, A_2, \dots, A_nA1​,A2​,…,An​, the size of their union is:</div>\(\left| \bigcup_{i=1}^n A_i \right| = \sum_{i=1}^n |A_i| - \sum_{1 \le i &lt; j \le n} |A_i \cap A_j| + \sum_{1 \le i &lt; j &lt; k \le n} |A_i \cap A_j \cap A_k| - \cdots + (-1)^{n+1} |A_1 \cap A_2 \cap \cdots \cap A_n|\)<br>
Pigeonhole Principle:	If \((n+1)\)&nbsp;objects are placed into \(n\)&nbsp;boxes, one box contains at least 2 objects.
