Front	Back
N-bit value range (Sign Magnitude)	-(2^(N-1) -1) to +(2^(N-1) -1)
Sign Bit (2's Complement)	MSB = 0 for <b>ZERO</b>&nbsp;and +ve nums<br>1 for -ve nums
N-Bit Range (2's Complement)	-(2^(N-1)) to +(2^(N-1) -1)
VOH	"Minimum&nbsp;<span style=""background-color: rgb(0, 0, 255);""><b>output</b></span>&nbsp;voltage produced for logic <span style=""background-color: rgb(0, 0, 255);""><b>1</b></span>"
VIH	"Minimum <b><span style=""background-color: rgb(0, 0, 255);"">input</span>&nbsp;</b>voltage to be recognized as logic <span style=""background-color: rgb(0, 0, 255);""><b>1</b></span>"
VIL	"Maximum&nbsp;<span style=""background-color: rgb(0, 0, 255);""><b>input</b></span>&nbsp;voltage to be recognised as logic&nbsp;<span style=""background-color: rgb(0, 0, 255);""><b>0</b></span>"
VOL	"Maximum&nbsp;<span style=""background-color: rgb(0, 0, 255);""><b>output</b></span>&nbsp;voltage produced for logic&nbsp;<span style=""background-color: rgb(0, 0, 255);""><b>0</b></span>"
IIH	"Maximum current that flows into the <span style=""background-color: rgb(0, 0, 255);""><b>input</b></span> at logic <span style=""background-color: rgb(0, 0, 255);""><b>1</b></span>"
IIL	"Maximum current that flows into the <span style=""background-color: rgb(0, 0, 255);""><b>input</b> </span>at logic <span style=""background-color: rgb(0, 0, 255);""><b>0</b></span>"
IOH	"Maximum current that flows from the&nbsp;<b><span style=""background-color: rgb(0, 0, 255);"">output</span>&nbsp;</b>at logic&nbsp;<span style=""background-color: rgb(0, 0, 255);""><b>1</b></span>"
IOL	"Maximum current that flows from the&nbsp;<span style=""background-color: rgb(0, 0, 255);""><b>output</b></span>&nbsp;at logic&nbsp;<span style=""background-color: rgb(0, 0, 255);""><b>0</b></span>"
Power Dissipation	<b>P = C * V^2 * f<br></b>where<br>f - switching frequency<br>V - power suply voltage
NMH	VOH(min) - VIH(min)
NML	VOL(max)-VIL(max)
High Impedance (High-Z)	- Neither 0 nor 1<br>- behaves like an open circuit
Symbol for open drain	"<img src=""/files/SC1005/open_drain.png"">"
Types of reset:	"<b>Asynchrnous</b>: whenever the reset input is asserted, the contents of the register are set to the reset value<br><b>Synchronous</b>: at a <span style=""color: rgb(170, 255, 255);"">rising edge</span>, if reset is asserted, the contents of the register are set to the reset value"
Async reset	Whenever the reset input is asserted, the contents of the register are set to the reset value
Synchronous Reset	"At a <span style=""color: rgb(170, 255, 255);"">rising edge</span>, if reset is asserted, the contents of the register are set to the reset value"
Blocking Assignment Symbol	=
Non-Blocking Assignment Symbol	&lt;=
PISO (Verilog)	"<img src=""/files/SC1005/piso.png"">"
SIPO (Verilog)	"<img src=""/files/SC1005/sipo.png"">"
Memories	An array of storage elements
Register	One storage element
Characteristic of storage element	"Unique <span style=""color: rgb(170, 255, 255);"">address</span>"
Parameter Declaration (VERILOG)	"module some_mod <span style=""background-color: rgb(0, 0, 255);""><b>#(parameter SIZE=8, WIDTH=16)</b></span>(<br>&nbsp;input [SIZE-1:0] X,Y,<br>&nbsp;output [WIDTH-1:0] Z<br>);"
Parameters are constants that are	Local to a MODULE
Reg	Signals you assign to from within an&nbsp;<b>always block</b><br>- Seen as a VARIABLE in programming
Wire	Simply a&nbsp;<b>connection,</b>&nbsp;NO VALUE OF ITS OWN
Frequency	inverse of period:<br>10ns period = 10 * 10^(-9) s, 1/10*10^(-9) = 10^8 Hz = 100 MHz
Registers	Combining multiple D FLIP FLOPS together to store multible bits
Correct form of concatenation	assign b = {a[3:0], 4'b0000}<br>assign c = {{<b>4{a[3]}</b>}, a[3:0]}
